"row_idx","before","after","rule","text"
"3812","준비물","none","R1_syllabus","교 재 없음 준비사항 줌 화상수업용 태블릿 및 스마트폰 1대와 코딩용 노트북 또는 PC 1대 크롬설치, 엔트리 회원가입 주 주제 내 용 비고 1 시작이 중요해!"
"3813","준비물","none","R1_syllabus","교 재 없음 준비사항 줌 화상수업용 태블릿 또는 스마트폰 1대 실습용 노트북 또는 PC 1대 주 주제 내 용 비고 1 메타버스 속으로 - 나만의 아바타 만들기 상상 동물원 만들기 VR, AR, 메타버스란 무엇인지 알아보기 코스페이시스 기본환경 익히기 가상공간의 나만의 아바타를 꾸미고 나만의 아바타와 함께 여행할 상상의 동물원 만들기 2 내가 꿈꾸는 공간 만들기 디자인이 독특한 건물들 살펴보기 오브젝트 만들기 사용방법 알아보기 외부 이미지 파일 넣기 나의 아바타와 살고 싶은 공간을 꾸미고 소개하기 3 나의 아바타와 함께하는 신기한 놀이공원 만들기 경로를 이용하여 오브젝트 움직이기 외부 이미지 파일 넣기, 배경음악 업로드하여 넣기 다양한 환경에서의 내가 상상하는 놀이공원 기획 하고 만들기 4 아슬아슬 점프게임 만들기 정보창, 선택창 사용하기 오브젝트를 움직여 나만의 점프게임의 난이도를 조절해본다."
"3818","준비물","none","R1_syllabus","교 재 없음 준비사항 실습용 노트북 또는 데스크탑PC, 강좌 수강용 태블릿 또는 스마트폰 주 주제 내 용 비고 1 파이썬 준비하기 파이선 개발 환경을 구성 및 사용 방법 익히기 기본 데이터와 input(), print() 함수를 이해하기 실습1. 시간 변환하기 실습2. 환전하기 2 파이썬 이해하기1 제어구조의 조건'if'문 이해하기 'if'문을 활용한 프로그램 작성하기 실습1. 성적 판단하기 실습2. 다양한 도형 그리기 3 파이썬 이해하기2 제어구조의 반복'while'문 'for'문 이해하기 'while'문과 'for'문을 활용한 프로그램 작성하기 실습1. 주민등록번호로 성별 판단하기 실습2. 범위 내 홀수의 합 구하기 4 파이썬 확장하기 복합데이터의 순서형 자료 list, tuple, dictionay, set 이해하기 복합데이터를 활용하여 프로그램 작성하기 실습1. 영어단어장 프로그램 만들기 실습2. 비밀먼호 확인하는 프로그램 만들기 5 파이썬 응용하기 다양한 프로그램 구현하기 실습1. 다양한 패턴 그리기 실습2. 집중력 UP!!"
"3846","준비물","none","R1_syllabus","교 재 없음 준비사항 줌 화상수업용 태블릿 및 스마트폰 1대(카메라기능 필수)와 실습용 노트북 또 는 PC 1대 주 주제 내 용 비고 1 메타버스 이해하고 로블록스 스튜디오 설치하기"
"3909","준비물","기타","R2_zoom","스마트폰(태블릿 PC)으로 참여: 앱스토어 또는 플레이스토어에서 'ZOOM Cloud Meetings'앱 설치"
"3920","준비물","none","R1_syllabus","교 재 교재명 : 없음 준비사항 수강생 준비물: 공책 2권과 필기구 주 주제 내 용 비고 1 '글' 이해하기 글을 써야 하는 이유에 대해 생각해보고 좋은 글에 대한 자신의 생각을 글로 적어본다."
"3921","준비물","none","R1_syllabus","교 재 교재명 : 없음 저자 : 출판사 : (교재비: 원) 준비사항 수강생 준비물: 공책, 필기구, 학습지, 그리기재료, 차시별 준비물(화분, 그릇 등) 재료비 내역: 제본비용, 차시별 준비물 (재료비 총액: 20,0원 주 주제 내 용 비고 1 꼬마 과학자 되기 -관찰과 분류 오감을 이용한 관찰, 기준에 따른 분류를 학습하고 탐구학습지를 작성합니 다."
"3922","준비물","none","R1_syllabus","교 재 없음 준비사항 줌 화상수업용 스마트폰(또는 태블릿) 1대와 코딩실습용 노트북 (또는 PC) 1대 크롬설치, 엔트리 회원가입(ID와 비밀번호 숙지) 주 주제 내 용 비고 1 인공지능과 코딩 4차 산업혁명시대의 인공지능 기술 이해 및 인공지능 체험 2 엔트리와 친해지기 간단한 게임 만들기(오브젝트, 장면구성, 순차, 반복 등) 3 나의 스마트 홈 IoT기술과 스마트홈, 나만의 스마트 홈 만들기 4 소리인식 게임 만들기 음성인식, 음성인식을 활용한 게임 만들기 5 AI 맞춤법 받아쓰기 인공지능 받아쓰기 프로그램 만들기 6 인공지능 통역가 인공지능 번역 프로그램 만들기, 자동번역 채팅 7 인공지능 동작 인식게임 인공지능 동작인식 게임 만들기 8 명탐정수첩 인공지능 사물인식, 명탐정이 되어 사건 해결!!!"
"3923","준비물","none","R1_syllabus","교 재 교재명 : 강사ppt자료 준비사항 수강생 준비물 태블릿pc 혹은 핸드폰과 터치펜 (예시: 아이패드와 애플펜슬/ 갤럭시탭과 S펜/ 핸드폰과 터치펜) 어플 2종 다운로드: 이비스페인트X , ImgPlay (어플 업데이트 상황에 따라 변경될 수 있습니다.) 12주차에 스티커종이(라벨지) 1매 재료비 내역: 스티커 종이(라벨지) (재료비 총액: 2,0 원) 주 주제 내 용 비고 1 이비스페인트와 친해지기 브러쉬,레이어,파일 형식 등 디지털드로잉의 기본 개념을 배우고 간단한 일러스트 그려보기 2 캐릭터 일러스트 만들기 사물을 의인화 하여 나만의 창작 캐릭터 디자인하기 3 동물 일러스트 그리기 다양한 동물의 특징을 배우고 귀여운 펫 디자인해보기 4 콜라주 일러스트 만들기 사진 편집 및 합성 방법을 알고 디지털 콜라주 만들어보기 5 잡지 디자인 하기 나를 주인공으로 잡지 표지와 내지 디자인해보기 6 픽셀아트 작가되기 도트 만드는 법을 이해하고 픽셀아트 작품 만들기 7 이모티콘 작가 도전하기 감정별로 다양한 표정 그리는 법을 배우고 나만의 이모티콘 캐릭터 만들어보기 8 움직이는 일러스트 만들기 움직이는 그림의 원리를 이해하고 gif 파일 만들어보기 9 웹툰 작가 도전하기-1 주제에 맞춰 이야기를 쓰고 캐릭터 기획하기 10 웹툰 작가 도전하기-2 내가 만든 캐릭터로 칸만화를 스케치하고 말풍선 만들기 11 웹툰 작가 도전하기-3 채색을 완성하고 네이버 도전만화에 올려보기 12 나만의 스티커 만들기 스티커 제작 규격을 배우고 내 그림으로 스티커 만들기 강좌명 스마트폰을 활용한 다양한 영상 촬영 및 편집 지도강사 한미경 강의대상 초등 고학년 강의기간 2022.03.14.~ 2022.6.9. (주1회 100분, 12주) 강의가능요일 월요일, 수요일, 금요일 강의시간 평일 16:30 ~ 18:10 교육목표 스마트폰을 활용한 다양한 촬영 기법과 편집 기술을 활용하여 '2022년 나의 도전' 이라는 하나의 주제로 다양한 영상을 제작하여 나만의 영상 포트폴리오를 만든다 교 재 교재명 : 저자 : 출판사 : (교재비: 원) 준비사항 수강생 준비물: 실습용 스마트폰(차시별 어플 및 재료 준비), 삼각대 재료비 내역: 없음 (재료비 총액: 원) 주 주제 내 용 비고 1 제페토 아바타 활용 자기소개영상 촬영 강좌 소개 및 자기 소개 제페토 아바타를 활용하여 자기소개 영상을 촬영, 편집, 공유 제페토 2 영상촬영의 기초 shot 사이즈, 앵글, 무빙기법에 따른 촬영 기법과 그립법 비트싱크 3 영상편집의 기초 저작권 및 키네마스터 기초편집방법(컷,장면전환,오디오,자막,랜더링) 키네마스터 4 타임랩스, 슬로우모션 저속촬영과 고속촬영 기법의 원리 이해와 적용, 실습 프레임랩스 5 점토 활용 스톱모션 스톱모션 촬영기법의 이해와 점토를 활용한 스톱모션 촬영 스톱모션스튜디오 6 픽실레이션 픽실레이션의 이해와 촬영의 특징을 살린 기획 및 촬영 스톱모션스튜디오 7 컷 아웃 애니메이션 컷아웃 애니메이션의 특징을 살린 촬영 및 편집 스톱모션스튜디오 8 범퍼영상제작 타임랩스, 슬로우모션, 스톱모션을 활용한 범퍼영상 제작 키네마스터 9 키네마스터 영상편집1 레이어(PIP, 효과, 스티커, 손글씨) 활용 및 크로마키, 리버스 키네마스터 10 키네마스터 영상편집2 템플릿을 활용한 영상 편집, 키프레임, 클립그래픽 키네마스터 11 영상포트폴리오 오프닝, 엔딩 제작 영상 포트폴리오 앞 뒤로 들어갈 오프닝, 엔딩 영상 제작 키네마스터 12 영상포트폴리오 발표회 자신의 영상 포트폴리오 발표회 및 영상 크리에이터 선포식 강좌명 로블록스 나만의 메타버스 만들기 지도강사 최 민 희 강의대상 초등 고학년 강의기간 2022. 3. 14.~ 2022. 6. 9. (주1일 100분, 12주) 강의요일 월, 화, 수 강의시간 16:30 ~ 18:10(초등) 교육목표 메타버스의 대표적인 플랫폼인 로블록스로 스토리 기획, 아바타 생성, 공간 디 자인, 코딩을 더해 완성되는 나만의 가상공간을 만들 수 있다."
"3924","준비물","none","R1_syllabus","교 재 교재명 : 저자 : 출판사 : (교재비: 원) 준비사항 수강생 준비물: 노트북(카메라 필수), 가능하면 줌쓰는 컴퓨터또는 핸드폰과 로 블록스 프로그래밍할 노트북을 별개 사용 추천함 주 주제 내 용 비고 1 로블록스 소개 및 프로그램 설치"
"3925","준비물","기타","R2_app","준비사항: 마인크래프트 에듀케이션 프로그램 다운로드 (Microsoft Store에서 다운 가능)"
"3926","준비물","기타","R2_zoom","준비사항: 줌(zoom) 수업 참여용 기기(태블릿 혹은 핸드폰), 인터넷이 연결된 실습용 컴퓨터(노트북 가능, 크롬 브라우저 설치 필요)"
"3932","준비물","none","R1_syllabus","교 재 없음 (강사 본인준비) 준비사항 수강생 준비물: 가위, 목공풀, 딱풀, 연필, 지우개 재료비 내역: 아크릴물감,클레이점토,캔버스,기타부자재 (재료비 총액: 60,0 원) 주 주제 내 용 비고 1 클레이공예 디저트 그립톡 디저트의 형태를 구상하고 클레이로 만들어 그립톡과 줄자에 붙여 완성한다."
"3937","준비물","none","R1_syllabus","교 재 교재명 : 저자 : 출판사 : (교재비: 원) 준비사항 수강생 준비물: 사인펜, 필기도구, 풀, 가위, 줌 수업 준비 재료비 내역: 팝업북3권, 바인더, 북아트지, 택배비 (재료비 총액: 30,0원) 주 주제 내 용 비고 1 선사시대 이 돌멩이의 용도는?"
"3996","준비물","제출","R3_documents","구비서류 : 입후보자 등록서 1통 (교무실에 비치)"
"4316","준비물","기타","R2_app","구글 및 앱스토어 에서 ""T안심알리미"" 검색 후 앱 설치하기"
"4326","준비물","기타","R2_device","2. 택배 수령 후 단말기는 자녀의 책가방 외부에 착용해 주세요. (사용 설명서 필독)"
"4383","준비물","제출","R3_documents","구비 서류 : 학부모회 임원 입후보자 등록서 1통(가정통신문으로 배부)(양식은 본교 교무실에 비치 및 학교홈페이지 공지사항에 탑재)"
"4387","준비물","제출","R3_documents","서식3 작품설명서(A4 20쪽 이내, 50MB 이내)"
"4388","준비물","제출","R3_documents","서식4 작품요약서(A4 1쪽 이내, 3MB 이내)"
"4393","준비물","제출","R3_documents","면담 심사 시 즉석에서 작품 시연 준비 필요"
"4394","준비물","제출","R3_documents","과학탐구일지, 연구과정 포트폴리오 준비"
"4703","준비물","제출","R3_documents","구비서류: 입후보자 신청서, 개인정보수집동의서 각 1통"
"4706","준비물","기타","R2_app","'구글 플레이 스토어'에서 그린i-Net, 그린아이넷, PC 관리 등으로 검색하여 무료로 다운로드 하신 후에 편리하게 사용할 수 있습니다."
"4834","준비물","기타","R2_zoom","ZOOM 홈페이지를 통해 최신 버전의 프로그램 다운로드 설치"
"4835","준비물","기타","R2_zoom","스마트폰으로 참여 - 앱스토어 또는 플레이스토어에서 ZOOM Cloud Meetings 앱 설치"
